INDRA UUID	Belief	PMID	Evidence	API	Subject	Predicate	Object
9331dada-49d6-479c-9a83-b5e1a94a5511	0.99	10027835	We compared the following drugs in the kindling model of epilepsy : 1) L-deprenyl (selegiline), i.e., an irreversible inhibitor of MAO-B, which, however, also inhibits MAO-A at higher doses, 2) the novel reversible MAO-B inhibitor LU 53439 (3,4-dimethyl-7-(2-isopropyl-1,3, 4-thiadiazol-5-yl)-methoxy-coumarin), which is much more selective for MAO-B than L-deprenyl, 3) the novel reversible and highly selective MAO-A inhibitor LU 43839 (esuprone; 7-hydroxy-3, 4-dimethylcoumarin ethanesulfonate), and 4) the irreversible nonselective MAO inhibitor tranylcypromine.	reach	p(HGNC:MAOB)	decreases	act(p(HGNC:MAOA))
5222fd99-3835-46c9-9abf-29112a51e8d9	0.65	10617673	The monoamine oxidase B (MAO-B) inhibitor, (-)-deprenyl (DEP), its metabolite (-)-desmethyldeprenyl, and a tricyclic DEP analog, CGP3466, can reduce apoptosis independently of MAO-B inhibition and have been found to bind to GAPDH.	reach	p(HGNC:MAOB)	decreases	bp(GO:"GO:0006915")
e1fba84f-5bd5-4e84-a8de-6a76b73164df	0.65	10777699	These results show that MAO-B induces MAPK and ERK activation and cell mitogenesis through H (2) O (2) production.	reach	p(HGNC:MAOB)	increases	act(p(FPLX:ERK))
160efbea-5dcc-4b90-95df-a17aefd626a0	0.86	11040348	The question may arise as to whether monoamine oxidase A inhibition or monoamine oxidase B inhibition (or both) by non-selective monoamine oxidase inhibitors contributes to reducing conditioned freezi[MISSING/INVALID API KEY: limited to 200 char for Elsevier]	sparser	p(HGNC:NALCN)	decreases	act(p(HGNC:MAOB))
eddf810f-698b-4ecd-80c2-8bad7841d1d2	0.65	11129505	The infarct volumes in the cortex or in the striatum did not differ between the experimental groups 72 hr after transient occlusion of the middle cerebral artery, which suggests that during ischaemia/reperfusion, suppressed oxidative stress by partial MAO-B inhibition or MAO-B independent mechanisms such as induction of trophic factors, does not protect against ischaemia/reperfusion damage.	sparser	p(HGNC:MAOB)	decreases	act(p(HGNC:LGI1))
9331dada-49d6-479c-9a83-b5e1a94a5511	0.99	11860739	When MAO-A activity was inhibited to 25% of control by clorgyline (2 mg/kg, iv) and MAO-B to 30% by deprenyl, the plasma DHPG and DOMA concentrations were reduced to 15% and 70% of controls, and to 26% and 76% of controls, respectively.	reach	p(HGNC:MAOB)	decreases	act(p(HGNC:MAOA))
ebfd5e87-2596-4d0e-b7b1-c4882a5b362b	0.92	12130655	The A (2A) receptor independence of MAO-B inhibition by CSC was further supported by the similarity of brain MAO activities derived from A (2A) receptor knockout and wild-type mice and was confirmed by demonstrating potent inhibition of A (2A) receptor knockout derived MAO-B by CSC.	reach	bp(MESH:D014411)	decreases	act(p(HGNC:MAOB))
7898cd25-c040-4299-839d-719e68bad4f3	0.65	12130655	The A(2A) receptor independence of MAO-B inhibition by CSC was further supported by the similarity of brain MAO activities derived from A(2A) receptor knockout and wild-type mice and was confirmed by demonstrating potent inhibition of A(2A) receptor knockout-derived MAO-B by CSC.	sparser	bp(MESH:D014411)	decreases	act(p(HGNC:MAOB))
9331dada-49d6-479c-9a83-b5e1a94a5511	0.99	12237745	These data demonstrate that inhibition of MAO-A, but not MAO-B, reduces the volitional consumption of ethanol probably by preventing the formation of both biogenic aldehydes and acetaldehyde so that rewarding alkaloidal products can not be formed.	reach	p(HGNC:MAOB)	decreases	act(p(HGNC:MAOA))
4ad19c64-bbc1-49ac-b2af-94d2f758c834	0.65	12404611	Inhibitors of monoamine oxidase A (MAO-A) but not MAO-B stimulate the activity of pineal serotonin N-acetyltransferase (AANAT) in the adult rat pineal leading to increased formation of N-acetyl serotonin (NAS) and melatonin (MEL).	reach	p(HGNC:MAOB)	decreases	act(p(HGNC:AANAT))
52ec6620-6ef0-4596-84d3-460261cd494f	0.65	14697876	MPP also inhibits MAO-B but noncompetitively with the substrate and with higher Ki value than that for MAO-A ().	sparser	p(HGNC:MPZ)	decreases	act(p(HGNC:MAOB))
824f0cef-f9b8-4eaa-8fec-79e6bd99e479	0.65	15462192	CPZ at concentrations of 5x10 (-3), 2.5 x10 (-3), 1x10 (-3) M inhibited rat brain mitochondrial MAO-B activity in vitro by 83, 55, 39%, respectively, while IMI at concentrations of 5x10 (-4), 2.5 x10 (-4), 1x10 (-4) M inhibited the in vitro enzyme activity by 43, 35, 21%, respectively.	reach	p(HGNC:CPZ)	decreases	act(p(HGNC:MAOB))
8c1fd7ae-f584-4ab4-aa82-29bc190bf3fd	0.65	15527873	Both CSCs also inhibited glioma MAO-A and MAO-B [1.4.3.4].	sparser	p(HGNC:WASHC2C)	decreases	act(p(HGNC:MAOB))
9b1b2974-a6b1-4262-a316-c26a079cff87	0.94	15753616	It has been suggested that polymorphisms in monoamine oxidase B (MAOB) and catechol-O-methyltransferase (COMT) might increase the risk of PD.	reach	p(HGNC:MAOB)	increases	bp(MESH:D010300)
0408ac22-2376-4621-b189-aba4b890f668	0.65	16484337	Additionally, estrogen related receptor alpha (ERRalpha) up-regulates MAO-B gene expression in breast cancer cells.	reach	p(HGNC:ESRRA)	increases	p(HGNC:MAOB)
e7d2f14e-a378-4657-9a15-24a8ba2e6961	0.65	16484337	We demonstrate that ERRalpha and ERRgamma up-regulate MAO-B gene activity, whereas ERalpha and ERbeta decrease stimulation in both a ligand dependent and -independent manner.	reach	p(HGNC:ESRRA)	increases	act(p(HGNC:MAOB))
c425de75-9e1d-449b-b626-670ec2dadaf5	0.65	17193252	A structure-activity-relationship (SAR) study highlighted lipophilicity as an important property modulating the MAO-B inhibition potency of 7 substituted coumarins, as shown by a linear correlation (n = 20, r (2) = 0.72) between pIC (50) and calculated log P values.	reach	p(IP:IPR006687)	increases	act(p(HGNC:MAOB))
771a378d-7ef9-4874-bc85-64ceeb5c0e63	0.99	17193252	At the same doses, liver and striatum MAO-A was less inhibited in vivo, somehow reflecting MAO-B selectivity, as assessed in vitro.	reach	p(HGNC:MAOA)	decreases	act(p(HGNC:MAOB))
4c9cb3a0-86fd-4e14-8acb-82246e1bc1aa	0.65	17614182	STS allows the targeted inhibition of the monoamine A (MAO-A) and MAO-B isoenzymes with minimal effects on the MAO-A in the gastrointestinal and hepatic systems.	reach	p(HGNC:STS)	increases	act(p(HGNC:MAOB))
2c55fa02-46fb-45dd-aa09-f7ef0dd97e7e	0.88	1801542	The inhibition of MAO-B by DP may have been the means by which progression of Parkinsonism was attenuated, although other mechanisms are also tenable.	sparser	p(HGNC:DSP)	decreases	act(p(HGNC:MAOB))
2c55fa02-46fb-45dd-aa09-f7ef0dd97e7e	0.88	1801542	The inhibition of MAO-B by DP may have been the means by which progression of Parkinsonism was attenuated, although other mechanisms are also tenable.	reach	p(HGNC:DSP)	decreases	act(p(HGNC:MAOB))
da6100e4-900c-4a0f-8aee-6791e93c8bfd	0.65	18077577	MB and the related redox dyes toluidine blue O (TBO), thionine (TN), brilliant cresyl blue (BCB), and toluylene blue (TB) were reversible competitive inhibitors of both MAO-A and MAO-B and were highly selective toward MAO-A.	reach	p(HGNC:MB)	decreases	act(p(HGNC:MAOB))
d2eb1b00-098f-4d64-b94e-6af44349152e	0.65	18286173	Elevation in astrocytic MAO-B results in increased conversion of MPTP to MPP + and significant increases in toxin induced dopaminergic SN cell loss.	reach	p(HGNC:MAOB)	decreases	act(p(HGNC:SCG2))
9b1b2974-a6b1-4262-a316-c26a079cff87	0.94	18286173	Our data demonstrates that elevation of murine astrocytic MAO-B by itself can induce several phenotypes of PD, signifying that MAO-B could be directly involved in multiple aspects of disease neuropathology.	reach	p(HGNC:MAOB)	increases	bp(MESH:D010300)
c438ef74-8838-4727-ac0c-a7877a50218d	0.65	18304392	In conclusion, the present study indicates that inorganic or organic Se supplementation can decrease the brain MAO-B enzyme activity in adult rats and can be accomplished by the effect of the Se antioxidation capability.	reach	p(HGNC:FUT2)	decreases	act(p(HGNC:MAOB))
7d82731f-b8fe-4307-9d65-50d165de4730	0.95	18358303	Interestingly, siRNA mediated gene silencing of MAOB in cells reduces Abeta production, but not Notch processing.	reach	p(HGNC:MAOB)	increases	act(p(HGNC:APP))
fca75618-c720-4d82-8112-76183263112a	0.65	18358303	Interestingly, siRNA mediated gene silencing of MAOB in cells reduces Abeta production, but not Notch processing.	reach	p(HGNC:MAOB)	increases	act(p(FPLX:Notch))
7d82731f-b8fe-4307-9d65-50d165de4730	0.95	18358303	siRNA experiments showed that reduced levels of MAOB resulted in reduced Abeta production, with only minor effects on the release of Notch intracellular domain (manuscript in preparation).	reach	p(HGNC:MAOB)	increases	act(p(HGNC:APP))
866d8d22-8cad-4db6-b4b4-6ed07605ec90	0.65	1859299	Age related increase of MAO-B was found in all four areas of the brain, and MAO-A was increased in the nbM and temporal pole.	reach	p(HGNC:RENBP)	increases	act(p(HGNC:MAOB))
cb83add5-a502-4b59-8d00-7129c3fd0c19	0.65	18831059	Inhibition of MAO-B activity using the selective inhibitor PF9601N did not reduce this cryolesion induced inflammatory response.	reach	p(HGNC:MAOB)	increases	bp(GO:"GO:0006954")
160efbea-5dcc-4b90-95df-a17aefd626a0	0.86	19238150	Tobacco smoke contains chemicals that inhibit MAOA, xref – xref and brain MAOA levels are reduced in smokers.  xref  Simultaneous, irreversible inhibition of both MAOA and MAOB by non-selective MAOA/B inhibitors (for example, tranylcypromine or phenelzine) increases nicotine self-administration in rats. xref , xref Clorgyline, an irreversible MAOA inhibitor, also promotes nicotine self-administration in rats. xref , xref These studies in rats suggest that MAO activities have an inhibitory effect on nicotine intake.	sparser	p(HGNC:NALCN)	decreases	act(p(HGNC:MAOB))
fd1570e0-dc65-44fc-b9a0-a3e663e1d4c5	0.65	19526285	MAO-B elevation was found to substantially inhibit mitochondrial aconitase, KGDH, complex I, succinate dehydrogenase, and PDH activities to an extent ranging from 33.5% to nearly 60%; these inhibitions were deprenyl sensitive and prevented by catalase pretreatment (data not shown for aconitase, SDH and PDH) suggesting that they were both MAO-B and H 2 O 2 -dependent.	reach	p(HGNC:MAOB)	decreases	act(p(HGNC:ACO1))
1e9affb2-579c-4cf1-b86c-89789e9950bd	0.65	19526285	MAO-B elevation was found to substantially inhibit mitochondrial aconitase, KGDH, complex I, succinate dehydrogenase, and PDH activities to an extent ranging from 33.5% to nearly 60%; these inhibitions were deprenyl sensitive and prevented by catalase pretreatment (data not shown for aconitase, SDH and PDH) suggesting that they were both MAO-B and H 2 O 2 -dependent.	reach	p(HGNC:MAOB)	decreases	act(p(FPLX:"ETC_complex_II"))
8a87c8fc-88b0-4529-8bf2-add3c81d6727	0.65	19526285	MAO-B elevation was found to substantially inhibit mitochondrial aconitase, KGDH, complex I, succinate dehydrogenase, and PDH activities to an extent ranging from 33.5% to nearly 60%; these inhibitions were deprenyl sensitive and prevented by catalase pretreatment (data not shown for aconitase, SDH and PDH) suggesting that they were both MAO-B and H 2 O 2 -dependent.	reach	p(HGNC:MAOB)	decreases	act(p(FPLX:PDH))
8604fc2d-2dca-49d0-a96a-bed364336ae0	0.65	19697948	This sensitive MS based technique allowed us to examine the affects of increased MAO-B expression in a PC12 cell model on 3NT modification of alpha-synuclein, emulating what occurs during normal aging and PD and which may contribute to alpha-synuclein aggregation.	reach	p(HGNC:MTR)	increases	p(HGNC:MAOB)
7430f07b-293b-4b9c-8bf5-cdbf27ab4494	0.65	19697948	alpha-Synuclein was immunopurified from PC12 cells treated with dox to induce MAO-B overexpression, dox + deprenyl (an MAO-B inhibitor), or H 2 O 2 versus control cells (no dox).	reach	p(HGNC:MAOB)	increases	act(p(HGNC:SNCA))
70d701bc-ae6f-4887-952f-712d09d0e34d	0.65	19779138	These results suggest that LPS induces chronic wounds via elevated MAO/B mediated increases in H (2) O (2) and TNF-alpha activity by epithelial cells and is further associated with more distant effects on systemic oxidative stress and alveolar bone loss.	reach	p(HGNC:MAOB)	increases	act(p(HGNC:TNF))
771a378d-7ef9-4874-bc85-64ceeb5c0e63	0.99	20554102	The MAO-A subtype which selectively degrades 5-HT and MAO-B which degrades dopamine have been localized to 5-HT neurons.	reach	p(HGNC:MAOA)	decreases	act(p(HGNC:MAOB))
eaa8fcec-96c3-4564-b570-38fb9c832c75	0.65	20554984	Condensation products of acetaldehyde in cigarette smoke with biogenic amines inhibit the activity of monoamine oxidase type A and monoamine oxidase type B, and there is evidence that inhibition of monoamine oxidase contributes to the addictiveness of smoking by reducing the metabolism of dopamine.	reach	p(PFAM:PF00668)	decreases	act(p(HGNC:MAOB))
a30d76a6-7b6f-44e4-bdd7-b8ab463c4c28	0.98	20655384	The cause for this transient decrease in activity is not clear however MAO-B mediated increases in ROS could result in elevated levels of endogenous oxidized indoles such as isatin which are known inhibitors of MAO-B activity [XREF_BIBR].	reach	p(HGNC:MAOB)	increases	act(p(HGNC:ROS1))
75bfe11f-5ac8-4edd-9fcc-36c30611639e	0.65	20655384	The fact that dox removal at day 3 was able to halt further MAO-B increases in ROS levels as well as subsequent neuropathological events including loss of CI activity and nigrostriatal neurodegeneration suggests that oxidative stress may contribute to these later events.	reach	p(HGNC:MAOB)	increases	p(HGNC:ROS1)
f5d99288-8b43-4db3-9aec-0c7bd729b086	0.95	20856599	XREF_BIBR, XREF_BIBR In the brain, metabolism of escitalopram propionate may be mediated by MAO-A, MAO-B, and aldehyde oxidase.	reach	p(HGNC:MAOB)	increases	bp(GO:"GO:0008152")
d78d55d7-9439-48fd-a4fc-28138efeeb50	0.86	21277784	Additionally these model examinations provide evidence that oxidations of N-cyclopropyl derivatives of MPTP catalyzed by MAO-B may not be consistent with a pure SET pathway.	reach	p(HGNC:MAOB)	increases	act(p(UP:Q06180))
5ef9c119-32f5-4f6d-a692-c4968a4df5ef	0.86	21324658	In addition, it is suggested that the conversion from MPTP to MPP (+) is caused mainly by MAO-B located in ependymal cells and GFAP positive cells in the SVZ.	reach	p(HGNC:MAOB)	increases	act(p(HGNC:MPZ))
d6ae0921-c645-491e-bbed-7e78d5b6b8de	0.65	21423589	The primary difference between early and advanced patients is that when used as monotherapy for early PD, MAO-B inhibitors are primarily acting on endogenous dopamine, whereas those with advanced PD and combination therapy are deriving benefits from MAO-B inhibition of catabolism of exogenous dopamine.	reach	p(HGNC:MAOB)	decreases	bp(GO:"GO:0009056")
9331dada-49d6-479c-9a83-b5e1a94a5511	0.99	21628600	Pharmacologic inhibition of monoamine oxidase type A (MAO-A), but not MAO-B, poses a risk of the " cheese effect, " a hypertensive response to excess dietary tyramine, a biogenic sympathomimetic amine.	reach	p(HGNC:MAOB)	decreases	act(p(HGNC:MAOA))
f5d99288-8b43-4db3-9aec-0c7bd729b086	0.95	21722346	L-DOPA has been hypothesized to enhance neurodegeneration [XREF_BIBR] since DA metabolism by MAO-B generates ROS [XREF_BIBR].	reach	p(HGNC:MAOB)	increases	bp(GO:"GO:0008152")
48238ac2-39dc-4d1f-8395-61b5b30d66b3	0.65	21935322	Rasagiline is a second-generation MAO-B inhibitor that selectively and irreversibly inhibits brain MAO-B, specifically designed for the treatment of PD.	sparser	p(HGNC:MAOB)	decreases	act(p(HGNC:MAOB))
756cffbb-800f-4f1a-b390-f5d03d3883c4	0.86	21995845	Finally, Smad3 might directly regulate MAO-B at the transcriptional level although this remains to be clarified.	reach	p(HGNC:SMAD3)	increases	act(p(HGNC:MAOB))
756cffbb-800f-4f1a-b390-f5d03d3883c4	0.86	21995845	However, Smad3 ablation increased the MAO-B content in the VM by 38.9% (P = 0.010, Figure XREF_FIG).	reach	p(HGNC:SMAD3)	increases	act(p(HGNC:MAOB))
39b51bce-b1c6-4a09-b0bc-5765a337b548	0.65	21995845	MAO-B increases in the ventral midbrain of Smad3 null mice.	reach	p(HGNC:MAOB)	increases	act(p(HGNC:SMAD3))
cb1741d2-d384-4ab1-877c-f349e9cacae2	0.65	22065207	MAO-B overexpression inhibited Bcl-2 induction by rasagiline and befloxatone, but did not affect that by (-) deprenyl, suggesting the different mechanisms behind Bcl-2 gene induction by these MAO-B inhibitors.	reach	p(HGNC:MAOB)	decreases	act(p(HGNC:BCL2))
feee5b7e-4e76-4567-a43c-d8ebe50c5f7a	0.65	22314364	Overexpression of parkin, but not its PD linked T240R mutant or GFP, significantly lowered the mRNA levels of MAO-A and MAO-B in P001 and P002 neurons (p < 0.05, n = 4, student 's t-test, unpaired, two tailed) (XREF_FIG), as well as the activities of MAO-A and MAO-B in total cell lysates from these neurons (p < 0.05, n = 4, student 's t-test, unpaired, two tailed) (XREF_FIG).	reach	bp(MESH:D010300)	decreases	p(HGNC:MAOB)
8d11978f-1709-419f-b878-d85997986f9d	0.86	22314364	Overexpression of parkin, but not its PD linked T240R mutant or GFP, significantly lowered the mRNA levels of MAO-A and MAO-B in P001 and P002 neurons (p < 0.05, n = 4, student 's t-test, unpaired, two tailed) (XREF_FIG), as well as the activities of MAO-A and MAO-B in total cell lysates from these neurons (p < 0.05, n = 4, student 's t-test, unpaired, two tailed) (XREF_FIG).	reach	p(HGNC:PRKN)	decreases	p(HGNC:MAOB)
a30d76a6-7b6f-44e4-bdd7-b8ab463c4c28	0.98	22329629	In order to assess the potential role of MAO-B- induced ROS in associated mitochondrial dysfunction, we created both PC12 cell lines [XREF_BIBR] and transgenic mice in which MAO-B levels could be specifically induced [XREF_BIBR].	reach	p(HGNC:MAOB)	increases	act(p(HGNC:ROS1))
a30d76a6-7b6f-44e4-bdd7-b8ab463c4c28	0.98	22329629	MAO-B catalysed ROS production has also been suggested to contribute to age related increases in mitochondrial damage, particularly in the substantia nigra (SN), a brain region, which displays preferential neurodegeneration in PD [XREF_BIBR].	reach	p(HGNC:MAOB)	increases	act(p(HGNC:ROS1))
105a9825-9be8-4514-b361-70a281929a69	0.65	22329629	Our experiments demonstrated a decrease in LC3 following induction of human MAO-B expression, suggesting decreased efficiency of autophagic degradation (XREF_FIG).	reach	p(FPLX:MAP1LC3)	increases	p(HGNC:MAOB)
ded2d41e-7a44-4238-893f-4e3a8d46f76a	0.65	22366757	These Pet-1 mutant precursors also fail to induce Tph2, Aadc, Sert, Vmat2, and Maob and therefore, Pet-1 is required for induction of all of the genes in the serotonergic-type gene battery (XREF_FIG).	reach	p(HGNC:FEV, var("p.?"))	increases	act(p(HGNC:MAOB))
ebfd5e87-2596-4d0e-b7b1-c4882a5b362b	0.92	22407500	As mentioned in the introduction, CSC is not only A 2A receptor antagonist, but also effectively inhibits MAO-B activity.	reach	bp(MESH:D014411)	decreases	act(p(HGNC:MAOB))
32ffe7f9-4089-4a2f-a359-cc6463d7f56c	0.65	22467201	However, MAO-B was inhibited by VA in a noncompetitive and irreversible manner with an enzyme-inhibitor dissociation constant (K (i) value) of 32 nM and IC(50) equals to 19 nM.	sparser	p(UP:Q8T626)	decreases	act(p(HGNC:MAOB))
e430dfdc-62d7-414d-949c-24153e701a01	0.65	23208077	In addition, CAS also increased the mRNA levels of MAOB, an enzyme for dopamine degradation, in the same brain regions.	reach	p(HGNC:CTNND1)	increases	p(HGNC:MAOB)
107bc4b8-1f9a-445b-a945-f77ebb86959a	0.86	23326597	Age related increases in MAO-B expression is associated with increases in free radical damage and reactive oxygen species (ROS) XREF_BIBR - XREF_BIBR.	reach	p(HGNC:RENBP)	increases	p(HGNC:MAOB)
03817f03-65f7-40e2-99ce-33033fce75db	0.65	23514379	Acute administration of MAO-B type inhibitor, deprenyl (not exerting an antidepressant effect), did not stimulate rat pineal NAS biosynthesis.	reach	p(HGNC:MAOB)	decreases	act(p(PFAM:PF03059))
f1adb70b-0d3a-473e-80f6-a789eaedf1f7	0.65	23514379	Acute administration of MAO-B type inhibitor, deprenyl (not exerting an antidepressant effect), did not stimulate rat pineal NAS biosynthesis.	reach	p(HGNC:MAOB)	decreases	bp(GO:"GO:0009058")
6f51de22-0acd-47da-a29f-df3286b3c2b0	0.65	23585716	This property of selegiline, together with observation that the basal ganglia of human brain possessed predominantly MAO-B that could metabolize dopamine led us to initiate a pilot study with selegiline in Parkinson 's disease [XREF_BIBR].	reach	p(HGNC:MAOB)	increases	act(p(HGNC:EGR3))
e481e19c-47c0-43bf-9ddd-2f7851f74934	0.65	23670301	Thus, MAO-A and MAO-B are both expressed in the mouse aorta, induced by in vivo lipopolysaccharide and angiotensin II treatment and contribute via the generation of H (2) O (2) to endothelial dysfunction in vascular disease models.	reach	p(HGNC:AGT)	increases	p(HGNC:MAOB)
9331dada-49d6-479c-9a83-b5e1a94a5511	0.99	23908775	The advent of rasagiline enabled confirmation of the hypothesis that tyramine potentiation results from inhibition of MAO-A but not MAO-B.	reach	p(HGNC:MAOB)	decreases	act(p(HGNC:MAOA))
ffa250e3-ace8-42cd-8ab4-91248d8f52dd	1.0	2398363	Prenatal MPTP administration reduced maternal striatal and also embryonal brain MAO-B activity at 24 h post treatment but did not alter the normal postnatal development of striatal MAO-A and -B activities in the offspring.	reach	p(UP:Q06180)	decreases	act(p(HGNC:MAOB))
f5d99288-8b43-4db3-9aec-0c7bd729b086	0.95	24252804	The products of MAO-B mediated metabolism of dopamine are 3,4-dihydroxyphenyl-acetaldehyde, an ammonium molecule and H 2 O 2.	reach	p(HGNC:MAOB)	increases	bp(GO:"GO:0008152")
10c34615-a1ae-45ae-b40b-7b350668cfb1	0.86	24300193	Otherwise, the results of the present study showed that the inhibition of MAO-B by all MPCs was fully reversible.	sparser	p(UP:Q53034)	decreases	act(p(HGNC:MAOB))
10c34615-a1ae-45ae-b40b-7b350668cfb1	0.86	24300193	The data showed that the inhibition of MAO-B by all studied MPCs was the non-competitive type.	sparser	p(UP:Q53034)	decreases	act(p(HGNC:MAOB))
